Date,Predicted_Close,Lower_Bound,Upper_Bound
2025-02-22 00:00:00-05:00,323.9245,286.72986,361.11914
2025-02-23 00:00:00-05:00,324.86252,287.66785,362.0572
2025-02-24 00:00:00-05:00,325.45422,288.25958,362.64886
2025-02-25 00:00:00-05:00,326.19492,289.00024,363.3896
2025-02-26 00:00:00-05:00,326.92438,289.72974,364.11902
2025-02-27 00:00:00-05:00,327.53198,290.33734,364.72662
2025-02-28 00:00:00-05:00,327.9431,290.74847,365.13776
2025-03-01 00:00:00-05:00,328.15976,290.9651,365.35443
2025-03-02 00:00:00-05:00,328.70126,291.5066,365.89594
2025-03-03 00:00:00-05:00,329.1391,291.94446,366.33374
2025-03-04 00:00:00-05:00,329.51907,292.3244,366.71375
2025-03-05 00:00:00-05:00,329.887,292.69232,367.08167
2025-03-06 00:00:00-05:00,330.3176,293.12292,367.51227
2025-03-07 00:00:00-05:00,330.7285,293.5338,367.92316
2025-03-08 00:00:00-05:00,331.00208,293.80743,368.19672
2025-03-09 00:00:00-05:00,331.45718,294.2625,368.65186
2025-03-10 01:00:00-04:00,331.7335,294.53882,368.92816
2025-03-11 01:00:00-04:00,331.7909,294.59625,368.98553
2025-03-12 01:00:00-04:00,331.7751,294.58044,368.96973
2025-03-13 01:00:00-04:00,331.9312,294.73657,369.12585
2025-03-14 01:00:00-04:00,331.9226,294.72797,369.11725
2025-03-15 01:00:00-04:00,332.00302,294.80835,369.1977
2025-03-16 01:00:00-04:00,331.95566,294.761,369.15033
2025-03-17 01:00:00-04:00,331.51788,294.32324,368.71252
2025-03-18 01:00:00-04:00,331.19333,293.99866,368.388
2025-03-19 01:00:00-04:00,331.01514,293.8205,368.20978
2025-03-20 01:00:00-04:00,330.93445,293.7398,368.1291
2025-03-21 01:00:00-04:00,330.8413,293.64667,368.03595
2025-03-22 01:00:00-04:00,331.0807,293.88605,368.27533
2025-03-23 01:00:00-04:00,330.96265,293.768,368.1573
